Time,Symbol,Open,High,Low,Close,Volume,Supertrend,Polaridad,DEMA800,Half-Order,Profit,Stoploss-Reached,Exit-Price,ATR,ADX,P&L
2021-12-22 16:30:00-05:00,XRPUSDT,0.9611,0.9665,0.9607,0.9632,2874411.0,0.9363669523355236,Buy,0.8346147,True,False,False,0.9632,0.009660201208660886,20.7302711843211,0.14910000000000068
2021-12-27 07:30:00-05:00,XRPUSDT,0.9228,0.9281,0.9228,0.9268,3818869.0,0.9136691911045269,Buy,0.9009515,True,False,False,0.9268,0.0037841305337008883,10.470227986244126,0.0847
2021-12-31 12:00:00-05:00,XRPUSDT,0.8372,0.838,0.826,0.8285,4610704.0,0.8489793730403516,Sell,0.869183,True,False,False,0.8285,0.005347073264308792,11.299542076336948,0.17220000000000046
2022-01-01 23:30:00-05:00,XRPUSDT,0.845,0.846,0.8375,0.8394,4414373.0,0.8533915922385007,Sell,0.8582741,False,False,True,0.8533915922385007,0.003936718248616666,19.388368012831336,-0.22679999999999986
2022-01-02 22:30:00-05:00,XRPUSDT,0.8499,0.85,0.844,0.8459,1757438.0,0.8591684765622436,Sell,0.8548113,True,True,False,0.8424,0.00404956428237533,21.994250663460924,0.1420999999999999
2022-01-04 13:00:00-05:00,XRPUSDT,0.8292,0.831,0.8265,0.8274,3164956.0,0.8430718170544403,Sell,0.8453491,True,True,False,0.7734,0.004677291103090345,17.204269333049442,0.5859000000000008
2022-01-06 21:30:00-05:00,XRPUSDT,0.7694,0.7697,0.7631,0.7636,1609111.0,0.7829288113157012,Sell,0.8160718,True,False,False,0.7636,0.006254003918941233,24.509268625041607,0.13299999999999934
2022-01-08 10:00:00-05:00,XRPUSDT,0.7604,0.7618,0.75,0.7554,6189295.0,0.7723340161324994,Sell,0.7943891,True,False,False,0.7554,0.005361290134169922,20.871692565481137,0.1420999999999999
2022-01-09 19:30:00-05:00,XRPUSDT,0.7554,0.7554,0.7483,0.7487,2058498.0,0.7687170742358672,Sell,0.7756955,True,True,False,0.7436,0.005453878355380173,18.73984509437136,0.3254999999999999
2022-01-11 05:30:00-05:00,XRPUSDT,0.7363,0.7365,0.7307,0.7316,2233474.0,0.7482453961667722,Sell,0.7587118,False,False,True,0.7482453961667722,0.00551124701040805,17.956305426230514,-0.3037999999999992
2022-01-14 00:30:00-05:00,XRPUSDT,0.7824,0.7875,0.7815,0.7873,2115044.0,0.7702108037088587,Buy,0.7563987,False,False,True,0.7702108037088587,0.004927309970137325,34.47614419905024,-0.33180000000000076
2022-01-14 15:30:00-05:00,XRPUSDT,0.7723,0.785,0.7722,0.7784,6715791.0,0.7605841420170991,Buy,0.7555778,False,False,True,0.7605841420170991,0.006000857509322465,17.066613444074473,-0.24639999999999926
2022-01-17 19:30:00-05:00,XRPUSDT,0.7655,0.7675,0.7644,0.767,496000.0,0.7523169658923303,Buy,0.7548966,False,False,True,0.7523169658923303,0.0043757285961925265,29.788957238653843,-0.19740000000000002
2022-01-17 23:00:00-05:00,XRPUSDT,0.7576,0.7584,0.7511,0.7529,2951713.0,0.7678506309761178,Sell,0.7545218,True,False,False,0.7529,0.004271465584765899,23.45879451485671,0.0679000000000003
2022-01-20 16:30:00-05:00,XRPUSDT,0.7486,0.7487,0.7327,0.733,7833252.0,0.7585523310421967,Sell,0.741576,True,True,False,0.6142,0.004804972223486954,32.41676427536655,1.0717
2022-01-23 10:30:00-05:00,XRPUSDT,0.6059,0.606,0.599,0.604,2288240.0,0.6255138496831261,Sell,0.676463,False,False,True,0.6255138496831261,0.007820344391090129,20.16045746480552,-0.36120000000000063
2022-01-24 03:30:00-05:00,XRPUSDT,0.6,0.6094,0.5917,0.5944,12606900.0,0.6230422077116086,Sell,0.6607156,True,False,False,0.5944,0.007246247627100123,11.501449271571056,0.2002000000000005
2022-01-26 16:30:00-05:00,XRPUSDT,0.6232,0.6232,0.606,0.6068,5098632.0,0.6527403122748129,Sell,0.6209413,False,True,False,0.5963,0.010215654617960191,25.119022482559025,0.14699999999999935
2022-01-28 16:00:00-05:00,XRPUSDT,0.6073,0.6121,0.6072,0.6114,2299793.0,0.5937228840830217,Buy,0.6002996,False,True,False,0.6128,0.005237724859034986,14.835981602989856,0.019599999999999396
2022-01-31 10:00:00-05:00,XRPUSDT,0.5934,0.6009,0.5934,0.5963,6038416.0,0.583912553207621,Buy,0.5856279,True,True,False,0.6131,0.00417712947128046,35.08005543427777,0.19039999999999924
2022-02-03 10:00:00-05:00,XRPUSDT,0.598,0.6046,0.5971,0.6038,2377166.0,0.5864993751390115,Buy,0.5832544,False,True,False,0.607,0.004368373589932274,40.893349954704654,0.04479999999999973
2022-02-04 10:00:00-05:00,XRPUSDT,0.6123,0.6286,0.6107,0.6261,10742580.0,0.6005344745118302,Buy,0.58265,True,True,False,0.6603,0.004822329598933155,26.600030583338942,0.44310000000000016
2022-02-06 09:00:00-05:00,XRPUSDT,0.671,0.6734,0.6705,0.6731,1556539.0,0.6637863291296274,Buy,0.6042183,False,False,True,0.6637863291296274,0.0029091119095415456,9.949696493816537,-0.1358000000000006
